                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6799,                 2.7412,                 1.7455,                0.02427,                0.69466,                0.05447,                0.02069,                 2.0922,                 3.2146,                 1.5012,                0.00064,                0.00064,                0.00064
                      2,                 2.1969,                 1.8339,                 1.4126,                0.01813,                0.51908,                0.02419,                0.00812,                 2.3553,                 3.1476,                 1.6706,              0.0012968,              0.0012968,              0.0012968
                      3,                 2.0977,                  1.666,                 1.3509,                 0.0753,                0.49237,                0.12273,                0.04096,                 2.3801,                 2.7065,                 1.6202,              0.0019503,              0.0019503,              0.0019503
                      4,                 2.0291,                 1.6237,                 1.3295,                0.45593,                 0.4542,                0.42559,                0.16993,                 2.1124,                 1.7839,                 1.4693,              0.0019852,              0.0019852,              0.0019852
                      5,                 2.0276,                 1.5638,                 1.2933,                 0.4773,                0.53817,                0.48653,                0.22056,                 1.9825,                 1.6642,                 1.4619,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.9257,                 1.4239,                 1.2635,                0.48232,                0.53053,                0.45962,                0.20067,                 1.9801,                 1.6844,                 1.4116,              0.0019753,              0.0019753,              0.0019753
                      7,                 1.9251,                  1.427,                 1.2635,                0.69596,                0.53295,                0.60762,                0.28221,                 1.8318,                 1.4976,                 1.2615,              0.0019703,              0.0019703,              0.0019703
                      8,                 1.8914,                 1.3669,                 1.2305,                0.58152,                0.68321,                0.64778,                0.32198,                 1.7336,                 1.3892,                  1.246,              0.0019654,              0.0019654,              0.0019654
                      9,                 1.8875,                 1.3257,                 1.2051,                0.62261,                0.58779,                0.64454,                0.34302,                  1.766,                 1.3654,                 1.2331,              0.0019604,              0.0019604,              0.0019604
                     10,                 1.8472,                 1.3242,                 1.1936,                0.68954,                0.61069,                0.67282,                0.36087,                 1.6788,                 1.2958,                 1.1653,              0.0019555,              0.0019555,              0.0019555
                     11,                 1.8074,                 1.2665,                 1.1706,                0.63238,                0.57634,                0.63936,                0.31572,                 1.7596,                 1.4251,                 1.2401,              0.0019505,              0.0019505,              0.0019505
                     12,                 1.8201,                  1.234,                 1.1602,                0.60935,                0.66794,                  0.671,                0.32114,                 1.7642,                 1.3616,                 1.2651,              0.0019456,              0.0019456,              0.0019456
                     13,                 1.7556,                 1.2065,                 1.1336,                0.68537,                0.69847,                0.70747,                0.34964,                 1.6742,                 1.3916,                 1.1719,              0.0019406,              0.0019406,              0.0019406
                     14,                  1.755,                 1.2115,                 1.1413,                0.70899,                0.59924,                 0.6819,                0.38039,                 1.6476,                  1.219,                 1.2063,              0.0019357,              0.0019357,              0.0019357
                     15,                 1.7947,                 1.2127,                 1.1506,                0.66834,                0.62214,                0.68698,                0.32103,                 1.7608,                 1.2956,                 1.1957,              0.0019307,              0.0019307,              0.0019307
                     16,                  1.787,                 1.2153,                 1.1426,                0.62008,                0.69847,                0.69587,                0.36869,                 1.6372,                 1.2747,                 1.2248,              0.0019258,              0.0019258,              0.0019258
                     17,                 1.7411,                  1.169,                 1.1126,                0.80135,                0.67176,                0.74797,                0.38488,                 1.6823,                  1.279,                 1.2278,              0.0019208,              0.0019208,              0.0019208
                     18,                 1.7146,                 1.1735,                 1.1292,                0.56876,                0.65267,                0.61812,                0.32353,                 1.7287,                 1.3909,                 1.2496,              0.0019159,              0.0019159,              0.0019159
                     19,                 1.7062,                 1.1245,                 1.1021,                 0.5172,                0.58015,                0.54445,                0.28017,                 1.8388,                 1.4774,                 1.3258,              0.0019109,              0.0019109,              0.0019109
                     20,                 1.7074,                 1.1152,                 1.0833,                0.71194,                0.64504,                0.69188,                0.37007,                 1.6865,                 1.1891,                 1.2097,               0.001906,               0.001906,               0.001906
                     21,                 1.6736,                 1.0976,                  1.094,                0.68503,                0.65578,                0.73743,                0.39759,                 1.5717,                 1.1987,                  1.181,               0.001901,               0.001901,               0.001901
                     22,                 1.6727,                 1.1269,                 1.1079,                0.75893,                0.71756,                0.78361,                0.41626,                 1.6146,                  1.141,                 1.1602,              0.0018961,              0.0018961,              0.0018961
                     23,                   1.67,                 1.1184,                 1.0917,                0.60822,                0.65771,                0.66916,                0.35166,                  1.617,                 1.3141,                 1.1749,              0.0018911,              0.0018911,              0.0018911
                     24,                 1.7147,                  1.147,                 1.0888,                0.69987,                0.66031,                  0.715,                0.36411,                 1.6954,                 1.2839,                 1.1508,              0.0018862,              0.0018862,              0.0018862
                     25,                 1.6877,                 1.1141,                 1.1063,                0.82158,                0.70611,                0.78201,                0.41374,                  1.598,                 1.1304,                 1.1142,              0.0018812,              0.0018812,              0.0018812
                     26,                 1.6628,                 1.0898,                 1.0942,                0.72875,                0.68705,                0.75606,                0.41038,                 1.5356,                 1.1457,                 1.1386,              0.0018763,              0.0018763,              0.0018763
                     27,                 1.6715,                 1.0806,                 1.0697,                0.69969,                0.71756,                 0.7638,                0.42699,                 1.5279,                 1.1241,                 1.1176,              0.0018713,              0.0018713,              0.0018713
                     28,                 1.6456,                 1.0693,                 1.0784,                0.71843,                0.73664,                0.79101,                0.42684,                 1.5372,                 1.1891,                 1.1015,              0.0018663,              0.0018663,              0.0018663
                     29,                 1.6627,                 1.0785,                 1.0728,                0.55818,                0.53817,                0.54259,                0.25792,                 1.9108,                 1.6266,                 1.3058,              0.0018614,              0.0018614,              0.0018614
                     30,                  1.654,                 1.0997,                 1.0702,                 0.6052,                0.57925,                0.60938,                0.31092,                 1.6939,                 1.4854,                 1.2126,              0.0018564,              0.0018564,              0.0018564
                     31,                 1.6161,                 1.0848,                 1.0469,                 0.7507,                0.69847,                0.76929,                0.41708,                 1.5526,                 1.1438,                 1.1297,              0.0018515,              0.0018515,              0.0018515
                     32,                 1.6006,                 1.0427,                 1.0491,                0.64385,                0.64169,                0.67879,                0.35456,                 1.7078,                 1.2716,                 1.2607,              0.0018465,              0.0018465,              0.0018465
                     33,                 1.6371,                  1.078,                  1.055,                0.70442,                0.67939,                0.70573,                0.38102,                 1.6074,                 1.1887,                 1.1833,              0.0018416,              0.0018416,              0.0018416
                     34,                 1.5914,                 1.0435,                 1.0509,                 0.8228,                0.74436,                0.84148,                0.45103,                 1.4808,                 1.0267,                 1.0885,              0.0018367,              0.0018367,              0.0018367
                     35,                 1.6323,                 1.0574,                 1.0449,                0.82525,                0.73282,                0.80639,                0.44329,                  1.498,                 1.0749,                 1.0982,              0.0018317,              0.0018317,              0.0018317
                     36,                 1.6274,                 1.0475,                 1.0423,                0.76394,                0.74111,                0.80455,                0.44211,                 1.4794,                 1.1098,                 1.1172,              0.0018267,              0.0018267,              0.0018267
                     37,                 1.6294,                 1.0412,                 1.0375,                0.72056,                0.70229,                0.76807,                0.41787,                  1.528,                 1.1256,                  1.111,              0.0018218,              0.0018218,              0.0018218
                     38,                 1.5927,                 1.0363,                 1.0484,                 0.7769,                0.73664,                0.77125,                 0.4207,                 1.5073,                 1.0749,                 1.0973,              0.0018168,              0.0018168,              0.0018168
                     39,                 1.5915,                 1.0371,                 1.0438,                0.76419,                0.70505,                0.79723,                 0.4192,                 1.6038,                 1.1113,                 1.1075,              0.0018119,              0.0018119,              0.0018119
                     40,                 1.6043,                 1.0388,                 1.0401,                0.72839,                 0.7472,                0.79116,                0.45194,                 1.5257,                 1.0847,                 1.0959,              0.0018069,              0.0018069,              0.0018069
                     41,                 1.5873,                 1.0271,                 1.0424,                0.42625,                0.45802,                0.40574,                0.20152,                 1.9793,                 1.5594,                 1.3767,               0.001802,               0.001802,               0.001802
                     42,                 1.5925,                 1.0374,                 1.0457,                0.57495,                 0.6145,                0.59652,                0.30708,                 1.6888,                 1.2829,                 1.2623,              0.0017971,              0.0017971,              0.0017971
                     43,                 1.5645,                 1.0084,                  1.026,                0.79864,                0.74178,                0.82765,                0.47509,                 1.4661,                0.98928,                 1.0902,              0.0017921,              0.0017921,              0.0017921
                     44,                 1.5758,                 1.0062,                 1.0243,                0.75276,                0.75191,                0.80702,                0.47369,                 1.4511,                 1.0484,                 1.0506,              0.0017872,              0.0017872,              0.0017872
